---------------------------------------------------------------------------------------------------------------
Report log for 09-01-2017 for Unit ID 705393
---------------------------------------------------------------------------------------------------------------
000: ? 2017/01/12 09:48:50, (0x09)U2H.MANEUVER -  Trip start (1), Strength:0, SSN: 13, MSN: 1, Max X:0, Max Y:0, Avg. Voltage Off:0, Start Speed:0, Start Reason:UNKNOWN [10], Min Voltage at sleep:0
000: ? 2017/01/12 09:49:36, (0x09)U2H.MANEUVER -  Braking into turn (35), Strength:1, SSN: 13, MSN: 2, Max X:-21, Max Y:20, Max Z:0, Start Speed:28, End Speed:13, Timer:1768
000: ? 2017/01/12 09:51:45, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 13, MSN: 3, Max X:-40, Max Y:0, Max Z:0, Start Speed:35, End Speed:22, Timer:1155
000: ? 2017/01/12 09:52:26, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 13, MSN: 4, Max X:-33, Max Y:12, Max Z:0, Start Speed:41, End Speed:26, Timer:1920
000: ? 2017/01/12 09:54:23, (0x09)U2H.MANEUVER -  Turning (53), Strength:3, SSN: 13, MSN: 5, Max X:-2, Max Y:45, Max Z:0, Start Speed:29, End Speed:27, Timer:2842
000: ? 2017/01/12 09:55:28, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 13, MSN: 6, Max X:-35, Max Y:-3, Max Z:0, Start Speed:27, End Speed:0, Timer:2844
000: ? 2017/01/12 09:55:53, (0x09)U2H.MANEUVER -  Turning (55), Strength:1, SSN: 13, MSN: 7, Max X:-1, Max Y:-28, Max Z:0, Start Speed:28, End Speed:27, Timer:1135
000: ? 2017/01/12 09:56:17, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 13, MSN: 8, Max X:-21, Max Y:3, Max Z:0, Start Speed:45, End Speed:11, Timer:1569
000: ? 2017/01/12 09:56:19, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 13, MSN: 9, Max X:-24, Max Y:1, Max Z:0, Start Speed:11, End Speed:0, Timer:967
000: ? 2017/01/12 09:56:27, (0x09)U2H.MANEUVER -  Accelerating (21), Strength:1, SSN: 13, MSN: 10, Max X:23, Max Y:-4, Max Z:0, Start Speed:4, End Speed:24, Timer:2607
000: ? 2017/01/12 09:56:42, (0x09)U2H.MANEUVER -  Accelerating (21), Strength:3, SSN: 13, MSN: 11, Max X:32, Max Y:-11, Max Z:0, Start Speed:13, End Speed:29, Timer:1321
000: ? 2017/01/12 09:56:45, (0x09)U2H.MANEUVER -  Accelerating (21), Strength:1, SSN: 13, MSN: 12, Max X:22, Max Y:9, Max Z:0, Start Speed:29, End Speed:41, Timer:2291
000: ? 2017/01/12 09:56:59, (0x09)U2H.MANEUVER -  Sudden brake in turn (50), Strength:3, SSN: 13, MSN: 13, Max X:-26, Max Y:33, Max Z:0, Start Speed:42, End Speed:31, Timer:3877
000: ? 2017/01/12 09:57:02, (0x09)U2H.MANEUVER -  Turning (53), Strength:3, SSN: 13, MSN: 14, Max X:7, Max Y:36, Max Z:0, Start Speed:25, End Speed:28, Timer:1564
000: ? 2017/01/12 09:57:10, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 13, MSN: 15, Max X:-25, Max Y:-3, Max Z:0, Start Speed:46, End Speed:37, Timer:1431
000: ? 2017/01/12 09:57:13, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 13, MSN: 16, Max X:-48, Max Y:9, Max Z:0, Start Speed:37, End Speed:23, Timer:1492
000: ? 2017/01/12 09:57:15, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 13, MSN: 17, Max X:-39, Max Y:-6, Max Z:0, Start Speed:23, End Speed:3, Timer:1760
000: ? 2017/01/12 09:57:55, (0x09)U2H.MANEUVER -  Accelerating (21), Strength:1, SSN: 13, MSN: 18, Max X:24, Max Y:-1, Max Z:0, Start Speed:22, End Speed:31, Timer:1167
000: ? 2017/01/12 09:57:59, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 13, MSN: 19, Max X:-34, Max Y:-6, Max Z:0, Start Speed:29, End Speed:20, Timer:1291
000: ? 2017/01/12 09:58:19, (0x09)U2H.MANEUVER -  Turning (55), Strength:1, SSN: 13, MSN: 20, Max X:3, Max Y:-34, Max Z:0, Start Speed:54, End Speed:59, Timer:4201
000: ? 2017/01/12 09:58:24, (0x09)U2H.MANEUVER -  Turning (55), Strength:3, SSN: 13, MSN: 21, Max X:4, Max Y:-38, Max Z:0, Start Speed:61, End Speed:66, Timer:3519
000: ? 2017/01/12 09:59:53, (0x09)U2H.MANEUVER -  Sudden brake in turn (50), Strength:3, SSN: 13, MSN: 22, Max X:-21, Max Y:35, Max Z:0, Start Speed:36, End Speed:30, Timer:1204
000: ? 2017/01/12 10:00:11, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 13, MSN: 23, Max X:-24, Max Y:5, Max Z:0, Start Speed:54, End Speed:41, Timer:1040
000: ? 2017/01/12 10:01:01, (0x09)U2H.MANEUVER -  Accelerate into turn (23), Strength:3, SSN: 13, MSN: 24, Max X:28, Max Y:16, Max Z:0, Start Speed:22, End Speed:38, Timer:2301
000: ? 2017/01/12 10:01:20, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 13, MSN: 25, Max X:-36, Max Y:13, Max Z:0, Start Speed:46, End Speed:31, Timer:1661
000: ? 2017/01/12 10:01:24, (0x09)U2H.MANEUVER -  Accelerate while exiting turn (69), Strength:3, SSN: 13, MSN: 26, Max X:19, Max Y:39, Max Z:0, Start Speed:24, End Speed:33, Timer:1008
000: ? 2017/01/12 10:01:27, (0x09)U2H.MANEUVER -  Accelerate while in turn (41), Strength:3, SSN: 13, MSN: 27, Max X:22, Max Y:30, Max Z:0, Start Speed:33, End Speed:44, Timer:1727
000: ? 2017/01/12 10:02:31, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 13, MSN: 28, Max X:-28, Max Y:-6, Max Z:0, Start Speed:29, End Speed:13, Timer:2324
000: ? 2017/01/12 10:02:33, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 13, MSN: 29, Max X:-26, Max Y:8, Max Z:0, Start Speed:13, End Speed:0, Timer:1238
000: ? 2017/01/12 10:02:42, (0x09)U2H.MANEUVER -  Accelerating (21), Strength:1, SSN: 13, MSN: 30, Max X:26, Max Y:4, Max Z:0, Start Speed:3, End Speed:17, Timer:1227
000: ? 2017/01/12 10:07:31, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 13, MSN: 31, Max X:-31, Max Y:0, Max Z:0, Start Speed:17, End Speed:11, Timer:951
000: ? 2017/01/12 10:07:34, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 13, MSN: 32, Max X:-27, Max Y:-1, Max Z:0, Start Speed:11, End Speed:1, Timer:2000
000: ? 2017/01/12 10:09:06, (0x09)U2H.MANEUVER -  Accelerating (21), Strength:1, SSN: 13, MSN: 33, Max X:26, Max Y:0, Max Z:0, Start Speed:0, End Speed:15, Timer:1330
000: ? 2017/01/12 10:09:20, (0x09)U2H.MANEUVER -  Trip end (2), End Reason: GPS Disabled [2], SSN: 13, MSN: 34, Valid GPS Samples:1227, Max Y:0, Avg. Voltage On:0, No Motion Timer:0, Distance: 83, Max Voltage:0
000: ? 2017/01/12 18:12:00, (0x09)U2H.MANEUVER -  Trip start (1), Strength:0, SSN: 14, MSN: 1, Max X:0, Max Y:0, Avg. Voltage Off:0, Start Speed:0, Start Reason:UNKNOWN [10], Min Voltage at sleep:0
000: ? 2017/01/12 18:12:13, (0x09)U2H.MANEUVER -  Trip end (2), End Reason: Out of Cradle [8], SSN: 14, MSN: 2, Valid GPS Samples:14, Max Y:0, Avg. Voltage On:0, No Motion Timer:0, Distance: 0, Max Voltage:0
000: ? 2017/01/12 18:12:41, (0x09)U2H.MANEUVER -  Trip start (1), Strength:0, SSN: 15, MSN: 1, Max X:0, Max Y:0, Avg. Voltage Off:0, Start Speed:0, Start Reason:UNKNOWN [10], Min Voltage at sleep:0
000: ? 2017/01/12 18:21:26, (0x09)U2H.MANEUVER -  Trip end (2), End Reason: GPS Disabled [2], SSN: 15, MSN: 2, Valid GPS Samples:525, Max Y:0, Avg. Voltage On:0, No Motion Timer:45, Distance: 24, Max Voltage:0
000: ? 2017/01/12 19:42:59, (0x09)U2H.MANEUVER -  Trip start (1), Strength:0, SSN: 16, MSN: 1, Max X:0, Max Y:0, Avg. Voltage Off:0, Start Speed:0, Start Reason:UNKNOWN [10], Min Voltage at sleep:0
000: ? 2017/01/12 19:48:44, (0x09)U2H.MANEUVER -  Trip end (2), End Reason: Out of Cradle [8], SSN: 16, MSN: 2, Valid GPS Samples:344, Max Y:0, Avg. Voltage On:0, No Motion Timer:52, Distance: 14, Max Voltage:0
000: ? 2017/01/12 20:07:15, (0x09)U2H.MANEUVER -  Trip start (1), Strength:0, SSN: 17, MSN: 1, Max X:0, Max Y:0, Avg. Voltage Off:0, Start Speed:0, Start Reason:UNKNOWN [10], Min Voltage at sleep:0
000: ? 2017/01/12 20:08:12, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 17, MSN: 2, Max X:-45, Max Y:-8, Max Z:0, Start Speed:26, End Speed:12, Timer:2806
